"Latest: Time (s)","Latest: Y Acceleration 1 (m/s²)","Latest: Z Acceleration 1 (m/s²)","Latest: X Acceleration 1 (m/s²)","Latest: Y Acceleration 2 (m/s²)","Latest: Z Acceleration 2 (m/s²)","Latest: X Acceleration 2 (m/s²)"
0,1.14586165058,1.28066598449,10.8853536583,-0.912515459961,0.814587178465,10.1040507478
0.001666,1.11050253385,1.31602510123,10.9217595095,-0.958660249627,0.76920630323,10.1040507478
0.003332,1.07514341711,1.24530686776,10.8853536583,-0.912515459961,0.723825427995,10.1040507478
0.004998,1.11050253385,1.28066598449,10.8853536583,-0.958660249627,0.76920630323,10.1040507478
0.006664,1.11050253385,1.31602510123,10.8853536583,-0.912515459961,0.814587178465,10.149431623
0.00833,1.18122076732,1.31602510123,10.8853536583,-0.912515459961,0.814587178465,10.1948124982
0.009996,1.11050253385,1.28066598449,10.8853536583,-0.912515459961,0.76920630323,10.149431623
0.011662,1.07514341711,1.20994775102,10.8125419561,-0.912515459961,0.76920630323,10.149431623
0.013328,1.11050253385,1.31602510123,10.8853536583,-0.912515459961,0.76920630323,10.149431623
0.014994,1.11050253385,1.28066598449,10.8853536583,-0.912515459961,0.76920630323,10.149431623
0.01666,1.21657988406,1.31602510123,10.8853536583,-0.866370670294,0.859968053701,10.1948124982
0.018326,1.14586165058,1.28066598449,10.9217595095,-0.912515459961,0.76920630323,10.1040507478
0.019992,1.07514341711,1.24530686776,10.8489478072,-0.866370670294,0.859968053701,10.1948124982
0.021658,1.14586165058,1.28066598449,10.8853536583,-0.912515459961,0.76920630323,10.149431623
0.023324,1.18122076732,1.31602510123,10.8853536583,-0.77408109096,0.905348928936,10.2401933735
0.02499,1.21657988406,1.3867433347,10.9217595095,-0.912515459961,0.76920630323,10.149431623
0.026656,1.14586165058,1.20994775102,10.8853536583,-0.958660249627,0.633063677524,10.1040507478
0.028322,1.11050253385,1.20994775102,10.8489478072,-0.958660249627,0.633063677524,10.1040507478
0.029988,1.11050253385,1.28066598449,10.8853536583,-0.958660249627,0.678444552759,10.1040507478
0.031654,1.14586165058,1.20994775102,10.9217595095,-0.866370670294,0.76920630323,10.1948124982
0.03332,1.07514341711,1.13922951755,10.8125419561,-0.912515459961,0.678444552759,10.149431623
0.034986,1.11050253385,1.28066598449,10.8853536583,-0.912515459961,0.678444552759,10.149431623
0.036652,1.14586165058,1.20994775102,10.8853536583,-0.958660249627,0.587682802288,10.1040507478
0.038318,1.18122076732,1.17458863428,10.8853536583,-0.912515459961,0.678444552759,10.1040507478
0.039984,1.11050253385,1.31602510123,10.8853536583,-0.912515459961,0.678444552759,10.1040507478
0.04165,1.11050253385,1.20994775102,10.8125419561,-0.912515459961,0.723825427995,10.1040507478
0.043316,1.11050253385,1.31602510123,10.8853536583,-0.820225880627,0.905348928936,10.1948124982
0.044982,1.11050253385,1.28066598449,10.8853536583,-0.866370670294,0.814587178465,10.1948124982
0.046648,1.25193900079,1.3867433347,10.9217595095,-0.820225880627,0.905348928936,10.1948124982
0.048314,1.18122076732,1.31602510123,10.8853536583,-0.866370670294,0.859968053701,10.1948124982
0.04998,1.11050253385,1.28066598449,10.8489478072,-0.820225880627,0.905348928936,10.2401933735
0.051646,1.11050253385,1.28066598449,10.8853536583,-0.820225880627,0.905348928936,10.1948124982
0.053312,1.18122076732,1.31602510123,10.9217595095,-0.866370670294,0.814587178465,10.149431623
0.054978,1.07514341711,1.20994775102,10.8125419561,-0.866370670294,0.814587178465,10.149431623
0.056644,1.14586165058,1.28066598449,10.8853536583,-0.912515459961,0.76920630323,10.1040507478
0.05831,1.14586165058,1.28066598449,10.8489478072,-0.912515459961,0.76920630323,10.1040507478
0.059976,1.21657988406,1.31602510123,10.8853536583,-0.912515459961,0.814587178465,10.1040507478
0.061642,1.18122076732,1.31602510123,10.8853536583,-0.866370670294,0.76920630323,10.1040507478
0.063308,1.11050253385,1.24530686776,10.8125419561,-0.866370670294,0.814587178465,10.1948124982
0.064974,1.14586165058,1.28066598449,10.8853536583,-0.912515459961,0.76920630323,10.0586698725
0.06664,1.18122076732,1.28066598449,10.8853536583,-0.912515459961,0.76920630323,10.1040507478
0.068306,1.18122076732,1.35138421797,10.9922958461,-0.912515459961,0.76920630323,10.1040507478
0.069972,1.18122076732,1.28066598449,10.8853536583,-0.912515459961,0.76920630323,10.1040507478
0.071638,1.11050253385,1.20994775102,10.8489478072,-0.912515459961,0.723825427995,10.1040507478
0.073304,1.11050253385,1.28066598449,10.8489478072,-0.912515459961,0.76920630323,10.1040507478
0.07497,1.18122076732,1.28066598449,10.8853536583,-0.912515459961,0.76920630323,10.1040507478
0.076636,1.07514341711,1.24530686776,10.9217595095,-0.912515459961,0.814587178465,10.1040507478
0.078302,1.18122076732,1.28066598449,10.8853536583,-0.866370670294,0.76920630323,10.1040507478
0.079968,1.18122076732,1.24530686776,10.8489478072,-0.912515459961,0.76920630323,10.1040507478
0.081634,1.14586165058,1.28066598449,10.8125419561,-0.912515459961,0.76920630323,10.1040507478
0.0833,1.18122076732,1.31602510123,10.8853536583,-0.866370670294,0.76920630323,10.149431623
0.084966,1.11050253385,1.24530686776,10.7761361049,-0.912515459961,0.76920630323,10.1040507478
0.086632,1.14586165058,1.28066598449,10.8853536583,-0.912515459961,0.76920630323,10.1040507478
0.088298,1.14586165058,1.31602510123,10.8853536583,-0.912515459961,0.76920630323,10.1040507478
0.089964,1.25193900079,1.31602510123,10.8853536583,-0.912515459961,0.76920630323,10.1040507478
0.09163,1.18122076732,1.31602510123,10.8853536583,-0.866370670294,0.76920630323,10.1040507478
0.093296,1.11050253385,1.24530686776,10.8125419561,-0.866370670294,0.76920630323,10.1040507478
0.094962,1.11050253385,1.31602510123,10.8853536583,-0.866370670294,0.814587178465,10.1040507478
0.096628,1.18122076732,1.28066598449,10.9217595095,-0.820225880627,0.859968053701,10.1948124982
0.098294,1.07514341711,1.35138421797,10.9922958461,-0.820225880627,0.859968053701,10.1948124982
0.09996,1.14586165058,1.28066598449,10.8853536583,-0.77408109096,0.905348928936,10.1948124982
0.101626,1.11050253385,1.24530686776,10.8489478072,-0.820225880627,0.814587178465,10.149431623
0.103292,1.14586165058,1.24530686776,10.8489478072,-0.912515459961,0.76920630323,10.0586698725
0.104958,1.18122076732,1.31602510123,10.8853536583,-0.912515459961,0.76920630323,10.1040507478
0.106624,1.11050253385,1.24530686776,10.8125419561,-0.912515459961,0.76920630323,10.1040507478
0.10829,1.14586165058,1.28066598449,10.8853536583,-0.912515459961,0.76920630323,10.0586698725
0.109956,1.14586165058,1.24530686776,10.9217595095,-0.866370670294,0.76920630323,10.1040507478
0.111622,1.14586165058,1.24530686776,10.8853536583,-0.912515459961,0.76920630323,10.1040507478
0.113288,1.18122076732,1.28066598449,10.8853536583,-0.912515459961,0.76920630323,10.1040507478
0.114954,1.11050253385,1.20994775102,10.8125419561,-0.866370670294,0.814587178465,10.1040507478
0.11662,1.18122076732,1.31602510123,10.8853536583,-0.912515459961,0.76920630323,10.1040507478
0.118286,1.18122076732,1.28066598449,10.8853536583,-0.912515459961,0.76920630323,10.1040507478
0.119952,1.28729811753,1.35138421797,10.9581653606,-0.866370670294,0.76920630323,10.149431623
0.121618,1.14586165058,1.28066598449,10.8853536583,-0.866370670294,0.723825427995,10.1040507478
0.123284,1.18122076732,1.24530686776,10.8853536583,-0.912515459961,0.76920630323,10.1040507478
0.12495,1.14586165058,1.24530686776,10.8489478072,-0.912515459961,0.76920630323,10.1040507478
0.126616,1.18122076732,1.28066598449,10.8853536583,-0.866370670294,0.76920630323,10.1040507478
0.128282,1.07514341711,1.20994775102,10.9217595095,-0.866370670294,0.76920630323,10.1040507478
0.129948,1.18122076732,1.28066598449,10.8853536583,-0.866370670294,0.76920630323,10.1040507478
0.131614,1.18122076732,1.24530686776,10.8853536583,-0.866370670294,0.76920630323,10.1040507478
0.13328,1.18122076732,1.28066598449,10.8125419561,-0.866370670294,0.76920630323,10.1040507478
0.134946,1.18122076732,1.31602510123,10.8853536583,-0.866370670294,0.814587178465,10.1040507478
0.136612,1.11050253385,1.20994775102,10.8125419561,-0.912515459961,0.723825427995,10.1040507478
0.138278,1.18122076732,1.20994775102,10.8853536583,-0.866370670294,0.76920630323,10.1040507478
0.139944,1.18122076732,1.28066598449,10.8853536583,-0.866370670294,0.76920630323,10.1040507478
0.14161,1.28729811753,1.31602510123,10.8853536583,-0.866370670294,0.76920630323,10.1040507478
0.143276,1.18122076732,1.28066598449,10.8853536583,-0.77408109096,0.905348928936,10.1948124982
