"Latest: Time (s)","Latest: Y Acceleration 1 (m/s²)","Latest: X Acceleration 1 (m/s²)","Latest: Z Acceleration 1 (m/s²)","Latest: Z Acceleration 2 (m/s²)","Latest: X Acceleration 2 (m/s²)","Latest: Y Acceleration 2 (m/s²)"
3.991736,0.194959492044,9.61393729522,1.67001667665,0.617682545679,10.596382215,0.77901081444
3.993402,0.102669912711,9.56855641998,1.62463580142,0.546964312205,10.596382215,0.77901081444
3.995068,0.148814702377,9.56855641998,1.57925492618,0.653041662415,10.6691939172,0.814369931177
3.996734,0.148814702377,9.65931817045,1.48849317571,0.546964312205,10.596382215,0.708292580966
3.9984,0.148814702377,9.70469904569,1.26158879953,0.653041662415,10.7055997684,0.77901081444
4.000066,0.102669912711,9.70469904569,1.03468442336,0.829837246099,10.6327880661,0.77901081444
4.001732,0.102669912711,9.65931817045,1.03468442336,0.865196362836,10.7055997684,0.77901081444
4.003398,0.194959492044,9.70469904569,1.03468442336,0.900555479573,10.6327880661,0.77901081444
4.005064,0.0565251230437,9.56855641998,0.80778004718,1.04199194652,10.5599763638,0.67293346423
4.00673,0.0565251230437,9.52317554475,0.853160922416,1.14806929673,10.4871646616,0.67293346423
4.008396,0.0565251230437,9.47779466951,0.853160922416,1.2187875302,10.4507588104,0.67293346423
4.010062,0.0565251230437,9.47779466951,0.853160922416,1.36022399715,10.5235705127,0.743651697703
4.011728,-0.0357644562901,9.43241379427,0.898541797651,1.25414664694,10.341541257,0.637574347493
4.013394,0.0565251230437,9.43241379427,0.898541797651,1.14806929673,10.3051354059,0.602215230756
4.01506,0.0565251230437,9.43241379427,0.898541797651,1.14806929673,10.3051354059,0.602215230756
4.016726,-0.0357644562901,9.38703291904,0.80778004718,0.971273713047,10.4143529593,0.637574347493
4.018392,-0.0357644562901,9.43241379427,0.898541797651,0.582323428942,10.341541257,0.602215230756
4.020058,-0.0357644562901,9.47779466951,0.943922672886,0.546964312205,10.4143529593,0.602215230756
4.021724,0.102669912711,9.61393729522,1.12544617383,0.582323428942,10.4871646616,0.637574347493
4.02339,0.0103803333768,9.56855641998,1.17082704906,0.370168728521,10.5599763638,0.743651697703
4.025056,-0.0357644562901,9.61393729522,1.26158879953,0.334809611784,10.4871646616,0.602215230756
4.026722,-0.0357644562901,9.61393729522,1.30696967477,0.334809611784,10.4871646616,0.602215230756
4.028388,-0.0819092459569,9.61393729522,1.35235055001,0.370168728521,10.5235705127,0.566856114019
4.030054,-0.128054035624,9.70469904569,1.39773142524,0.476246078731,10.4871646616,0.531496997282
4.03172,-0.128054035624,9.70469904569,1.39773142524,0.405527845258,10.4871646616,0.425419647072
4.033386,-0.174198825291,9.79546079616,1.39773142524,0.370168728521,10.5599763638,0.460778763809
4.035052,-0.174198825291,9.88622254663,1.26158879953,0.511605195468,10.5599763638,0.460778763809
4.036718,-0.220343614958,9.93160342186,1.12544617383,0.653041662415,10.7055997684,0.460778763809
4.038384,-0.220343614958,9.93160342186,1.03468442336,0.546964312205,10.6691939172,0.425419647072
4.04005,-0.266488404624,9.9769842971,0.853160922416,0.582323428942,10.7055997684,0.354701413598
4.041716,-0.266488404624,9.9769842971,0.671637421474,0.582323428942,10.6691939172,0.319342296862
4.043382,-0.312633194291,10.0223651723,0.580875671003,0.759119012626,10.7420056195,0.319342296862
4.045048,-0.312633194291,10.0677460476,0.444733045297,0.829837246099,10.6327880661,0.283983180125
4.046714,-0.266488404624,10.1131269228,0.490113920532,0.93591459631,10.6691939172,0.283983180125
4.04838,-0.312633194291,10.0677460476,0.490113920532,0.93591459631,10.6327880661,0.283983180125
4.050046,-0.312633194291,10.0677460476,0.444733045297,1.04199194652,10.6327880661,0.248624063388
4.051712,-0.358777983958,10.0223651723,0.535494795768,1.04199194652,10.6327880661,0.283983180125
4.053378,-0.358777983958,10.0677460476,0.580875671003,0.794478129363,10.5599763638,0.248624063388
4.055044,-0.312633194291,10.1131269228,0.626256546238,0.794478129363,10.596382215,0.283983180125
4.05671,-0.312633194291,10.158507798,0.626256546238,0.688400779152,10.6327880661,0.319342296862
4.058376,-0.312633194291,10.2038886733,0.671637421474,0.546964312205,10.7420056195,0.390060530335
4.060042,-0.312633194291,10.2038886733,0.80778004718,0.546964312205,10.7055997684,0.319342296862
4.061708,-0.312633194291,10.2038886733,0.943922672886,0.299450495047,10.7420056195,0.283983180125
4.063374,-0.266488404624,10.2946504237,0.989303548122,0.193373144837,10.7784114706,0.283983180125
