"Latest: Time (s)","Latest: Y Acceleration 1 (m/s²)","Latest: X Acceleration 1 (m/s²)","Latest: Z Acceleration 1 (m/s²)","Latest: Z Acceleration 2 (m/s²)","Latest: X Acceleration 2 (m/s²)","Latest: Y Acceleration 2 (m/s²)"
0,0.102669912711,10.2038886733,1.17082704906,0.829837246099,10.9240348752,0.566856114019
0.001666,-0.0357644562901,10.0677460476,1.03468442336,0.829837246099,10.9240348752,0.566856114019
0.003332,-0.0357644562901,10.1131269228,1.03468442336,0.865196362836,10.887629024,0.566856114019
0.004998,-0.0357644562901,10.1131269228,1.03468442336,0.865196362836,10.9240348752,0.602215230756
0.006664,-0.0357644562901,10.1131269228,1.08006529859,0.794478129363,10.8512231729,0.496137880546
0.00833,-0.0357644562901,10.1131269228,1.03468442336,0.794478129363,10.887629024,0.566856114019
0.009996,-0.0357644562901,10.1131269228,1.08006529859,0.865196362836,10.9240348752,0.566856114019
0.011662,-0.0357644562901,10.1131269228,1.08006529859,0.759119012626,10.887629024,0.637574347493
0.013328,-0.0357644562901,10.1131269228,1.03468442336,0.865196362836,10.9240348752,0.602215230756
0.014994,-0.0357644562901,10.1131269228,1.03468442336,0.794478129363,10.9240348752,0.566856114019
0.01666,-0.0357644562901,10.1131269228,1.08006529859,0.865196362836,10.9240348752,0.566856114019
0.018326,-0.0357644562901,10.1131269228,1.08006529859,0.865196362836,10.9604407263,0.566856114019
0.019992,-0.0357644562901,10.1131269228,1.08006529859,0.829837246099,10.887629024,0.496137880546
0.021658,-0.0357644562901,10.1131269228,1.03468442336,0.794478129363,10.9240348752,0.566856114019
0.023324,-0.0357644562901,10.1131269228,1.03468442336,0.865196362836,10.9604407263,0.602215230756
0.02499,-0.0357644562901,10.0677460476,1.03468442336,0.865196362836,11.0332524286,0.67293346423
0.026656,-0.0357644562901,10.0677460476,1.03468442336,0.865196362836,10.9240348752,0.602215230756
0.028322,-0.0357644562901,10.1131269228,1.03468442336,0.829837246099,10.9240348752,0.566856114019
0.029988,-0.0357644562901,10.1131269228,1.03468442336,0.865196362836,10.887629024,0.566856114019
0.031654,-0.0357644562901,10.1131269228,1.08006529859,0.865196362836,10.9240348752,0.566856114019
0.03332,-0.0357644562901,10.1131269228,1.08006529859,0.865196362836,10.887629024,0.566856114019
0.034986,-0.0357644562901,10.1131269228,1.08006529859,0.794478129363,10.887629024,0.566856114019
0.036652,0.0103803333768,10.158507798,1.08006529859,0.900555479573,10.9240348752,0.602215230756
0.038318,-0.0357644562901,10.1131269228,0.989303548122,0.794478129363,10.8512231729,0.637574347493
0.039984,-0.0357644562901,10.0677460476,1.03468442336,0.829837246099,10.9604407263,0.602215230756
0.04165,-0.0357644562901,10.1131269228,1.03468442336,0.865196362836,10.9240348752,0.566856114019
0.043316,-0.0357644562901,10.1131269228,1.03468442336,1.00663282978,10.9968465774,0.602215230756
0.044982,-0.0357644562901,10.0677460476,1.03468442336,0.829837246099,10.9240348752,0.566856114019
0.046648,-0.0357644562901,10.1131269228,1.08006529859,0.829837246099,10.887629024,0.566856114019
0.048314,-0.0357644562901,10.1131269228,1.03468442336,0.794478129363,10.887629024,0.566856114019
0.04998,-0.0357644562901,10.1131269228,1.08006529859,0.865196362836,10.9240348752,0.566856114019
0.051646,-0.0357644562901,10.0677460476,1.08006529859,0.794478129363,10.8512231729,0.602215230756
0.053312,-0.0357644562901,10.1131269228,0.989303548122,0.865196362836,10.9240348752,0.602215230756
0.054978,0.0565251230437,10.2038886733,1.08006529859,0.829837246099,10.9240348752,0.566856114019
0.056644,-0.0357644562901,10.1131269228,1.03468442336,0.900555479573,10.9240348752,0.566856114019
0.05831,-0.0357644562901,10.1131269228,0.989303548122,0.865196362836,10.9604407263,0.566856114019
0.059976,-0.0357644562901,10.1131269228,1.08006529859,0.794478129363,10.887629024,0.496137880546
0.061642,0.0565251230437,10.2038886733,1.12544617383,0.865196362836,10.887629024,0.531496997282
0.063308,-0.0357644562901,10.0677460476,1.03468442336,0.900555479573,10.9240348752,0.602215230756
0.064974,-0.0357644562901,10.1131269228,1.08006529859,0.865196362836,11.0332524286,0.637574347493
0.06664,-0.0357644562901,10.1131269228,1.08006529859,0.865196362836,10.9240348752,0.602215230756
0.068306,-0.0357644562901,10.1131269228,1.03468442336,0.829837246099,10.887629024,0.531496997282
0.069972,0.0103803333768,10.158507798,1.08006529859,0.865196362836,10.887629024,0.566856114019
0.071638,-0.0819092459569,10.0677460476,1.03468442336,0.865196362836,10.9604407263,0.566856114019
0.073304,-0.0357644562901,10.0677460476,1.03468442336,0.829837246099,10.8512231729,0.496137880546
0.07497,-0.0357644562901,10.0677460476,1.03468442336,0.829837246099,10.887629024,0.566856114019
0.076636,-0.0819092459569,10.0677460476,1.03468442336,0.865196362836,10.9240348752,0.566856114019
0.078302,-0.0819092459569,10.0677460476,1.03468442336,0.93591459631,11.0332524286,0.637574347493
0.079968,-0.0357644562901,10.1131269228,1.08006529859,0.829837246099,10.9240348752,0.602215230756
0.081634,-0.0819092459569,10.0677460476,1.03468442336,0.865196362836,10.9240348752,0.531496997282
0.0833,-0.0357644562901,10.0677460476,1.03468442336,0.900555479573,10.887629024,0.531496997282
0.084966,-0.0357644562901,10.1131269228,1.08006529859,0.865196362836,10.9240348752,0.566856114019
0.086632,-0.0357644562901,10.1131269228,1.08006529859,0.829837246099,10.887629024,0.496137880546
0.088298,-0.0357644562901,10.0677460476,1.08006529859,0.865196362836,10.887629024,0.566856114019
0.089964,-0.0357644562901,10.1131269228,1.08006529859,0.865196362836,10.9240348752,0.566856114019
0.09163,-0.0357644562901,10.1131269228,1.08006529859,0.794478129363,10.9604407263,0.637574347493
0.093296,-0.0357644562901,10.1131269228,1.08006529859,0.865196362836,10.9240348752,0.566856114019
0.094962,-0.0819092459569,10.0677460476,1.03468442336,0.829837246099,10.9240348752,0.531496997282
0.096628,-0.0357644562901,10.0677460476,1.03468442336,0.900555479573,10.9240348752,0.566856114019
0.098294,-0.0357644562901,10.1131269228,1.08006529859,0.865196362836,10.9240348752,0.602215230756
0.09996,-0.0357644562901,10.1131269228,1.08006529859,0.794478129363,10.887629024,0.496137880546
0.101626,0.0103803333768,10.158507798,1.08006529859,0.829837246099,10.9240348752,0.531496997282
0.103292,-0.0357644562901,10.1131269228,1.08006529859,0.900555479573,10.9604407263,0.602215230756
0.104958,-0.0357644562901,10.1131269228,1.08006529859,0.794478129363,10.8512231729,0.602215230756
0.106624,-0.0357644562901,10.1131269228,1.03468442336,0.865196362836,10.9240348752,0.566856114019
0.10829,-0.0357644562901,10.0677460476,1.03468442336,0.865196362836,10.9240348752,0.566856114019
0.109956,-0.0357644562901,10.1131269228,1.08006529859,0.93591459631,10.9604407263,0.566856114019
0.111622,-0.0357644562901,10.0677460476,1.03468442336,0.865196362836,10.9240348752,0.602215230756
